file_path,label
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0017.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0015.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0009.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0008.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0018.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0045.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0032.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0057.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0055.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0027.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0042.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0034.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0037.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0046.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0043.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0038.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0053.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0052.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0051.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0040.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0031.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0054.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0023.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0029.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0028.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0030.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0041.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0044.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0033.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0025.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0039.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0022.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0048.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0074.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0059.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0075.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0079.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0060.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0049.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0061.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0058.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0056.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0066.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0050.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0069.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0064.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0071.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0065.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0062.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0078.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0067.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0070.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0077.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0068.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0073.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0076.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0047.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0072.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/BAS/BAS_0063.tiff,Basophil
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7482.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7507.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7520.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7491.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7511.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7494.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7524.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7514.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7506.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7510.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7497.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7509.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7501.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7512.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7503.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7516.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7504.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7508.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7495.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7521.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7502.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7499.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7517.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7519.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7505.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7515.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7523.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7500.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7518.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7513.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7537.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7535.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7540.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7543.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7546.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7536.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7529.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7531.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7541.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7530.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7527.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7534.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7547.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7539.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7538.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7532.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7545.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7526.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7528.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7522.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7525.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7533.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7542.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7548.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7544.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7551.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7565.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7576.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7568.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7549.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7553.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7571.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7552.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7554.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7567.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7558.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7562.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7559.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7577.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7561.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7566.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7550.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7557.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7560.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7563.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7555.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7556.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7564.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7580.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7583.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7603.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7579.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7574.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7573.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7572.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7584.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7578.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7586.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7587.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7591.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7582.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7593.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7570.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7592.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7588.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7589.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7575.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7581.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7569.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7585.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7590.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7606.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7604.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7607.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7610.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7598.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7621.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7601.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7612.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7595.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7599.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7596.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7605.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7600.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7602.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7597.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7594.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7622 (2).tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7617.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7611.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7618.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7634.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7622 (1).tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7635.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7619.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7638.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7628.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7614.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7627.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7639.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7643.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7632.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7608.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7616.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7615.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7623.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7624.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7622.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7633.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7620.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7625.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7626.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7613.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7609.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7647.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7652.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7649.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7644.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7630.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7650.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7654.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7651.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7640.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7653.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7658.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7656.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7637.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7641.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7631.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7657.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7660.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7636.tiff,Neutrophil (segmented)
/content/drive/MyDrive/data/PKG - AML-Cytomorphology_LMU/NGS/NGS_7646.tiff,Neutrophil (segmented)
